MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Origin,bore,stroke,compression-ratio
18.0,8,307.0,130,3504,12.0,US,3.47,2.68,9
16.0,8,304.0,150,3433,12.0,US,3.19,3.4,10
17.0,8,302.0,140,3449,10.5,US,3.19,3.4,8
14.0,8,454.0,220,4354,9.0,US,3.19,3.4,8.5
23.55142857142857,8,440.0,215,4312,8.5,US,3.19,3.4,8.5
14.0,8,455.0,225,4425,8.5,US,3.13,3.4,8.3
15.0,8,390.0,190,3850,8.5,US,3.13,3.4,7
15.0,8,383.0,170,3563,10.0,US,3.5,2.8,8.8
14.0,5,340.0,160,3609,8.0,US,3.5,2.8,8.8
23.55142857142857,8,400.0,150,3761,9.5,US,3.31,3.19,9
14.0,8,455.0,225,3086,10.0,US,3.31,3.19,9
24.0,4,113.0,95,2372,15.0,Japan,3.31,3.19,9
22.0,6,198.0,95,2833,15.5,US,3.62,3.39,8
18.0,6,199.0,97,2774,15.5,US,3.62,3.39,8
21.0,6,200.0,85,2587,16.0,US,3.62,3.39,8
27.0,4,97.0,88,2130,14.5,Japan,2.91,3.03,9.5
26.0,4,97.0,46,1835,15.5,Europe,3.03,3.11,9.6
23.55142857142857,4,110.0,87,2672,17.5,Europe,3.03,3.11,9.6
24.0,4,107.0,90,2430,14.5,Europe,2.97,3.23,9.41
25.0,5,104.0,95,2375,17.5,Europe,2.97,3.23,9.4
26.0,4,121.0,113,2234,12.5,Europe,3.03,3.39,7.6
21.0,6,199.0,90,2648,15.0,US,2.97,3.23,9.4
10.0,8,360.0,215,4615,14.0,US,2.97,3.23,9.4
10.0,8,307.0,200,4376,15.0,US,2.97,3.23,9.4
11.0,8,318.0,210,4382,15.0,US,3.03,3.39,7.6
9.0,8,304.0,193,4732,18.5,US,3.34,3.46,8.5
27.0,4,97.0,88,2130,14.5,Japan,3.6,3.9,7
23.55142857142857,4,140.0,90,2264,15.5,US,2.91,3.41,9.6
25.0,4,113.0,95,2228,14.0,Japan,2.91,3.41,9.2
19.0,5,232.0,100,2634,13.0,US,2.91,3.07,10.1
16.0,6,225.0,105,3439,13.0,US,2.91,3.41,9.2
17.0,6,250.0,100,3329,15.5,US,2.91,3.41,9.2
19.0,6,250.0,88,3302,15.5,US,2.91,3.41,9.2
18.0,6,232.0,100,3288,15.5,US,2.92,3.41,9.2
14.0,8,350.0,165,4209,12.0,US,3.15,3.58,9
14.0,8,400.0,175,4464,11.5,US,3.15,3.58,9
14.0,8,351.0,153,4154,13.5,US,3.15,3.58,9
23.55142857142857,8,318.0,150,4096,13.0,US,3.15,3.58,9
12.0,8,383.0,180,4955,11.5,US,3.15,3.58,9
13.0,5,400.0,170,4746,12.0,US,3.15,3.58,9.1
13.0,8,400.0,175,5140,12.0,US,3.31,3.23,8.5
18.0,6,258.0,110,2962,13.5,US,3.03,3.11,9.6
22.0,4,140.0,72,2408,19.0,US,3.03,3.11,9.6
19.0,6,250.0,100,3282,15.0,US,3.43,3.23,9.2
18.0,6,250.0,88,3139,14.5,US,3.63,4.17,8.1
23.0,4,122.0,86,2220,13.0,US,3.63,4.17,8.1
28.0,4,116.0,90,2123,14.0,Europe,3.54,2.76,11.5
23.55142857142857,4,79.0,70,2074,19.5,Europe,3.03,3.15,9
30.0,5,88.0,76,2065,14.5,Europe,3.03,3.15,9
31.0,4,71.0,65,1773,19.0,Japan,3.03,3.15,9
35.0,4,72.0,69,1613,18.0,Japan,3.03,3.15,9
27.0,4,97.0,60,1834,19.0,Europe,3.08,3.15,9
26.0,4,91.0,70,1955,20.5,US,3.08,3.15,9.4
24.0,4,113.0,95,2278,15.5,Japan,3.08,3.15,9.4
25.0,4,97.5,80,2126,17.0,US,3.08,3.15,9.4
23.0,5,97.0,54,2254,23.5,Europe,3.08,3.15,9.4
20.0,4,140.0,90,2408,19.5,US,3.39,3.39,8.6
21.0,4,122.0,86,2226,16.5,US,3.39,3.39,8.6
13.0,8,350.0,165,4274,12.0,US,3.39,3.39,8.6
14.0,8,400.0,175,4385,12.0,US,3.39,3.39,8.6
15.0,8,318.0,150,4135,13.5,US,3.39,3.39,22.7
14.0,8,351.0,153,4129,13.0,US,3.39,3.39,8.6
17.0,8,304.0,150,3672,11.5,US,3.76,3.16,8
11.0,8,429.0,208,4633,11.0,US,3.43,3.64,22
12.0,8,350.0,160,4456,13.5,US,3.58,3.64,21.5
13.0,5,400.0,190,4422,12.5,US,3.58,3.64,21.5
23.55142857142857,3,70.0,97,2330,13.5,Japan,3.58,3.64,21.5
15.0,8,304.0,150,3892,12.5,US,3.46,3.1,8.3
13.0,8,307.0,130,4098,14.0,US,3.46,3.1,8.3
13.0,8,302.0,140,4294,16.0,US,3.8,3.35,8
14.0,8,318.0,150,4077,14.0,US,3.8,3.35,8
18.0,4,121.0,112,2933,14.5,Europe,3.78,3.12,8
22.0,4,121.0,76,2511,18.0,Europe,2.97,3.23,9.4
21.0,4,120.0,87,2979,19.5,Europe,2.97,3.23,9.4
26.0,4,96.0,69,2189,18.0,Europe,2.97,3.23,9.4
22.0,4,122.0,86,2395,16.0,US,3.03,3.39,7.6
28.0,4,97.0,92,2288,17.0,Japan,3.17,3.46,7.5
23.55142857142857,4,120.0,97,2506,14.5,Japan,3.35,3.46,8.5
28.0,5,98.0,80,2164,15.0,US,3.58,3.86,7
27.0,4,97.0,88,2100,16.5,Japan,3.59,3.86,7
13.0,8,350.0,175,4100,13.0,US,3.59,3.86,7
14.0,8,304.0,150,3672,11.5,US,3.35,3.46,8.5
13.0,8,350.0,145,3988,13.0,US,3.35,3.46,8.5
14.0,8,302.0,137,4042,14.5,US,3.17,3.46,7.5
12.0,5,429.0,198,4952,11.5,US,3.15,3.29,9.4
13.0,8,400.0,150,4464,12.0,US,2.99,3.47,21.9
23.55142857142857,8,351.0,158,4363,13.0,US,3.15,3.29,9.4
14.0,8,318.0,150,4237,14.5,US,3.15,3.29,9.4
13.0,8,440.0,215,4735,11.0,US,3.15,3.29,9.4
12.0,8,455.0,225,4951,11.0,US,3.15,3.29,9.4
13.0,8,360.0,175,3821,11.0,US,3.15,3.29,9.4
18.0,6,225.0,105,3121,16.5,US,3.15,3.29,9.4
16.0,6,250.0,100,3278,18.0,US,3.15,3.29,9.4
18.0,6,232.0,100,2945,16.0,US,3.15,3.29,9.4
18.0,6,250.0,88,3021,16.5,US,3.33,3.47,8.5
26.0,4,97.0,46,1950,21.0,Europe,3.43,3.27,9
11.0,8,400.0,150,4997,14.0,US,3.43,3.27,9
12.0,8,400.0,167,4906,12.5,US,3.43,3.27,9
13.0,8,360.0,170,4654,13.0,US,3.43,3.27,9
12.0,8,350.0,180,4499,12.5,US,3.43,3.27,7.8
18.0,6,232.0,100,2789,15.0,US,3.43,3.27,9
20.0,4,97.0,88,2279,19.0,Japan,3.46,3.19,8.4
21.0,4,140.0,72,2401,19.5,US,3.7,3.52,21
22.0,4,108.0,94,2379,16.5,Japan,3.46,3.19,8.4
18.0,3,70.0,90,2124,13.5,Japan,3.7,3.52,21
21.0,6,155.0,107,2472,14.0,US,3.7,3.52,21
26.0,4,98.0,90,2265,15.5,Europe,3.46,2.19,8.4
15.0,8,350.0,145,4082,13.0,US,3.7,3.52,21
16.0,8,400.0,230,4278,9.5,US,3.46,3.19,8.4
29.0,4,68.0,49,1867,19.5,Europe,3.7,3.52,21
24.0,4,116.0,75,2158,15.5,Europe,3.61,3.21,7
20.0,4,114.0,91,2582,14.0,Europe,2.97,3.23,9.4
19.0,4,121.0,112,2868,15.5,Europe,3.03,3.39,7.6
15.0,8,318.0,150,3399,11.0,US,2.97,3.23,9.4
24.0,4,121.0,110,2660,14.0,Europe,2.97,3.23,9.4
20.0,6,156.0,122,2807,13.5,Japan,2.97,3.23,9.4
11.0,8,350.0,180,3664,11.0,US,3.35,3.46,8.5
20.0,6,198.0,95,3102,16.5,US,3.59,3.86,7
19.0,6,232.0,100,2901,16.0,US,3.94,3.11,9.5
15.0,6,250.0,100,3336,17.0,US,3.74,2.9,9.5
31.0,4,79.0,67,1950,19.0,Japan,3.74,2.9,9.5
26.0,4,122.0,80,2451,16.5,US,3.74,2.9,9.5
32.0,4,71.0,65,1836,21.0,Japan,3.94,3.11,10
25.0,4,140.0,75,2542,17.0,US,3.46,3.9,8.7
16.0,6,250.0,100,3781,17.0,US,3.46,3.9,8.7
16.0,6,258.0,110,3632,18.0,US,3.54,3.07,9.31
18.0,6,225.0,105,3613,16.5,US,3.54,3.07,9.3
16.0,8,302.0,140,4141,14.0,US,2.54,2.07,9.3
13.0,8,350.0,150,4699,14.5,US,3.54,3.07,9.3
14.0,8,318.0,150,4457,13.5,US,3.54,3.07,9
14.0,8,302.0,140,4638,16.0,US,3.54,3.07,9
14.0,8,304.0,150,4257,15.5,US,3.62,2.36,9
29.0,4,98.0,83,2219,16.5,Europe,3.62,2.64,8.7
26.0,4,79.0,67,1963,15.5,Europe,3.62,2.64,8.7
26.0,4,97.0,78,2300,14.5,Europe,3.62,2.64,9.5
31.0,4,76.0,52,1649,16.5,Japan,3.62,2.64,9.5
32.0,4,83.0,61,2003,19.0,Japan,3.62,2.64,9
28.0,4,90.0,75,2125,14.5,US,3.62,2.64,9
24.0,4,90.0,75,2108,15.5,Europe,3.62,2.64,7.7
26.0,4,116.0,75,2246,14.0,Europe,3.62,2.64,9
24.0,4,120.0,97,2489,15.0,Japan,3.62,2.64,9
26.0,4,108.0,93,2391,15.5,Japan,3.62,2.64,9
31.0,4,79.0,67,2000,16.0,Europe,3.62,2.64,7.7
19.0,6,225.0,95,3264,16.0,US,3.05,3.03,9
18.0,6,250.0,105,3459,16.0,US,3.05,3.03,9
15.0,6,250.0,72,3432,21.0,US,3.05,3.03,9
15.0,6,250.0,72,3158,19.5,US,3.05,3.03,9
16.0,8,400.0,170,4668,11.5,US,3.05,3.03,9
15.0,8,350.0,145,4440,14.0,US,3.05,3.03,9
16.0,8,318.0,150,4498,14.5,US,3.19,3.03,9
14.0,8,351.0,148,4657,13.5,US,3.19,3.03,9
17.0,6,231.0,110,3907,21.0,US,3.27,3.35,22.5
16.0,6,250.0,105,3897,18.5,US,3.27,3.35,22.5
15.0,6,258.0,110,3730,19.0,US,3.19,3.03,9
18.0,6,225.0,95,3785,19.0,US,3.19,3.03,9
21.0,6,231.0,110,3039,15.0,US,3.19,3.03,9
20.0,8,262.0,110,3221,13.5,US,3.19,3.03,9
13.0,8,302.0,129,3169,12.0,US,3.19,3.03,9
29.0,4,97.0,75,2171,16.0,Japan,3.24,3.08,9.4
23.0,4,140.0,83,2639,17.0,US,3.24,3.08,9.4
20.0,6,232.0,100,2914,16.0,US,3.62,3.5,9.3
23.0,4,140.0,78,2592,18.5,US,3.62,3.5,9.3
24.0,4,134.0,96,2702,13.5,Japan,3.62,3.5,9.3
25.0,4,90.0,71,2223,16.5,Europe,3.62,3.5,9.3
24.0,4,119.0,97,2545,17.0,Japan,3.62,3.5,9.3
18.0,6,171.0,97,2984,14.5,US,3.62,3.5,9.3
29.0,4,90.0,70,1937,14.0,Europe,3.31,3.54,8.7
19.0,6,232.0,90,3211,17.0,US,3.27,3.35,22.5
23.0,4,115.0,95,2694,15.0,Europe,3.31,3.54,8.7
23.0,4,120.0,88,2957,17.0,Europe,3.31,3.54,8.7
22.0,4,121.0,98,2945,14.5,Europe,3.31,3.54,8.7
25.0,4,121.0,115,2671,13.5,Europe,3.27,3.35,9.3
33.0,4,91.0,53,1795,17.5,Japan,3.27,3.35,9.3
28.0,4,107.0,86,2464,15.5,Europe,3.27,3.35,9.2
25.0,4,116.0,81,2220,16.9,Europe,3.27,3.35,9.2
25.0,4,140.0,92,2572,14.9,US,3.01,3.4,23
26.0,4,98.0,79,2255,17.7,US,3.19,3.4,9
27.0,4,101.0,83,2202,15.3,Europe,3.01,3.4,23
17.5,8,305.0,140,4215,13.0,US,3.19,3.4,9
16.0,8,318.0,150,4190,13.0,US,3.19,3.4,9
15.5,8,304.0,120,3962,13.9,US,3.01,3.4,23
14.5,8,351.0,152,4215,12.8,US,3.19,3.4,10
22.0,6,225.0,100,3233,15.4,US,3.19,3.4,8.5
22.0,6,250.0,105,3353,14.5,US,3.19,3.4,8.5
24.0,6,200.0,81,3012,17.6,US,3.19,3.4,8.5
22.5,6,232.0,90,3085,17.6,US,3.01,3.4,23
29.0,4,85.0,52,2035,22.2,US,3.19,3.4,9
24.5,4,98.0,60,2164,22.1,US,3.78,3.15,9.5
29.0,4,90.0,70,1937,14.2,Europe,3.78,3.15,9.5
33.0,4,91.0,53,1795,17.4,Japan,3.78,3.15,9.5
20.0,6,225.0,100,3651,17.7,US,3.78,3.15,9.5
18.0,6,250.0,78,3574,21.0,US,3.62,3.15,7.5
18.5,6,250.0,110,3645,16.2,US,3.62,3.15,7.5
17.5,6,258.0,95,3193,17.8,US,3.78,3.15,9.5
29.5,4,97.0,71,1825,12.2,Europe,3.78,3.15,8.7
32.0,4,85.0,70,1990,17.0,Japan,3.58,2.87,8.8
28.0,4,97.0,75,2155,16.4,Japan,3.01,3.4,23
26.5,4,140.0,72,2565,13.6,US,3.78,3.15,9.5
20.0,4,130.0,102,3150,15.7,Europe,3.31,3.54,8.7
13.0,8,318.0,150,3940,13.2,US,3.27,3.35,9.3
19.0,4,120.0,88,3270,21.9,Europe,3.27,3.35,9.3
19.0,6,156.0,108,2930,15.5,Japan,3.27,3.35,9.2
16.5,6,168.0,120,3820,16.7,Europe,3.27,3.35,9.2
16.5,8,350.0,180,4380,12.1,US,3.01,3.4,23
13.0,8,350.0,145,4055,12.0,US,3.19,3.4,9
13.0,8,302.0,130,3870,15.0,US,3.01,3.4,23
13.0,8,318.0,150,3755,14.0,US,3.19,3.4,9
31.5,4,98.0,68,2045,18.5,Japan,3.19,3.4,9
30.0,4,111.0,80,2155,14.8,US,3.01,3.4,23
36.0,4,79.0,58,1825,18.6,Europe,3.19,3.4,10
25.5,4,122.0,96,2300,15.5,US,3.19,3.4,8.5
33.5,4,85.0,70,1945,16.8,Japan,3.19,3.4,8.5
17.5,8,305.0,145,3880,12.5,US,3.19,3.4,8.5
17.0,8,260.0,110,4060,19.0,US,3.01,3.4,23
15.5,8,318.0,145,4140,13.7,US,3.19,3.4,9
15.0,8,302.0,130,4295,14.9,US,3.78,3.15,9.5
17.5,6,250.0,110,3520,16.4,US,3.78,3.15,9.5
20.5,6,231.0,105,3425,16.9,US,3.78,3.15,9.5
19.0,6,225.0,100,3630,17.7,US,3.78,3.15,9.5
18.5,6,250.0,98,3525,19.0,US,3.62,3.15,7.5
16.0,8,400.0,180,4220,11.1,US,3.62,3.15,7.5
15.5,8,350.0,170,4165,11.4,US,3.78,3.15,9.5
15.5,8,400.0,190,4325,12.2,US,3.78,3.15,8.7
16.0,8,351.0,149,4335,14.5,US,3.58,2.87,8.8
29.0,4,97.0,78,1940,14.5,Europe,3.01,3.4,23
24.5,4,151.0,88,2740,16.0,US,3.31,3.54,8.7
26.0,4,97.0,75,2265,18.2,Japan,3.27,3.35,9.3
25.5,4,140.0,89,2755,15.8,US,3.27,3.35,9.3
30.5,4,98.0,63,2051,17.0,US,3.27,3.35,9.2
33.5,4,98.0,83,2075,15.9,US,3.27,3.35,9.2
30.0,4,97.0,67,1985,16.4,Japan,3.01,3.4,23
30.5,4,97.0,78,2190,14.1,Europe,3.19,3.4,9
22.0,6,146.0,97,2815,14.5,Japan,3.01,3.4,23
21.5,4,121.0,110,2600,12.8,Europe,3.19,3.4,9
21.5,3,80.0,110,2720,13.5,Japan,3.19,3.4,9
43.1,4,90.0,48,1985,21.5,Europe,3.01,3.4,23
36.1,4,98.0,66,1800,14.4,US,3.19,3.4,10
32.8,4,78.0,52,1985,19.4,Japan,3.19,3.4,8.5
39.4,4,85.0,70,2070,18.6,Japan,3.19,3.4,8.5
36.1,4,91.0,60,1800,16.4,Japan,3.19,3.4,8.5
19.9,8,260.0,110,3365,15.5,US,3.01,3.4,23
19.4,8,318.0,140,3735,13.2,US,3.19,3.4,9
20.2,8,302.0,139,3570,12.8,US,3.78,3.15,9.5
19.2,6,231.0,105,3535,19.2,US,3.78,3.15,9.5
20.5,6,200.0,95,3155,18.2,US,3.78,3.15,9.5
20.2,6,200.0,85,2965,15.8,US,3.78,3.15,9.5
25.1,4,140.0,88,2720,15.4,US,3.62,3.15,7.5
20.5,6,225.0,100,3430,17.2,US,3.62,3.15,7.5
19.4,6,232.0,90,3210,17.2,US,3.78,3.15,9.5
20.6,6,231.0,105,3380,15.8,US,3.78,3.15,8.7
20.8,6,200.0,85,3070,16.7,US,3.58,2.87,8.8
18.6,6,225.0,110,3620,18.7,US,3.01,3.4,23
18.1,6,258.0,120,3410,15.1,US,3.31,3.54,8.7
19.2,8,305.0,145,3425,13.2,US,3.27,3.35,9.3
17.7,6,231.0,165,3445,13.4,US,3.27,3.35,9.3
18.1,8,302.0,139,3205,11.2,US,3.27,3.35,9.2
17.5,8,318.0,140,4080,13.7,US,3.27,3.35,9.2
30.0,4,98.0,68,2155,16.5,US,3.01,3.4,23
27.5,4,134.0,95,2560,14.2,Japan,3.19,3.4,9
27.2,4,119.0,97,2300,14.7,Japan,3.01,3.4,23
30.9,4,105.0,75,2230,14.5,US,3.19,3.4,9
21.1,4,134.0,95,2515,14.8,Japan,3.19,3.4,9
23.2,4,156.0,105,2745,16.7,US,3.01,3.4,23
23.8,4,151.0,85,2855,17.6,US,3.19,3.4,10
23.9,4,119.0,97,2405,14.9,Japan,3.19,3.4,8.5
20.3,5,131.0,103,2830,15.9,Europe,3.19,3.4,8.5
17.0,6,163.0,125,3140,13.6,Europe,3.19,3.4,8.5
21.6,4,121.0,115,2795,15.7,Europe,3.01,3.4,23
16.2,6,163.0,133,3410,15.8,Europe,3.19,3.4,9
31.5,4,89.0,71,1990,14.9,Europe,3.78,3.15,9.5
29.5,4,98.0,68,2135,16.6,Japan,3.78,3.15,9.5
21.5,6,231.0,115,3245,15.4,US,3.78,3.15,9.5
19.8,6,200.0,85,2990,18.2,US,3.78,3.15,9.5
22.3,4,140.0,88,2890,17.3,US,3.62,3.15,7.5
20.2,6,232.0,90,3265,18.2,US,3.62,3.15,7.5
20.6,6,225.0,110,3360,16.6,US,3.78,3.15,9.5
17.0,8,305.0,130,3840,15.4,US,3.78,3.15,8.7
17.6,8,302.0,129,3725,13.4,US,3.58,2.87,8.8
16.5,8,351.0,138,3955,13.2,US,3.01,3.4,23
18.2,8,318.0,135,3830,15.2,US,3.31,3.54,8.7
16.9,8,350.0,155,4360,14.9,US,3.27,3.35,9.3
15.5,8,351.0,142,4054,14.3,US,3.27,3.35,9.3
19.2,8,267.0,125,3605,15.0,US,3.27,3.35,9.2
18.5,8,360.0,150,3940,13.0,US,3.27,3.35,9.2
31.9,4,89.0,71,1925,14.0,Europe,3.01,3.4,23
34.1,4,86.0,65,1975,15.2,Japan,3.19,3.4,9
35.7,4,98.0,80,1915,14.4,US,3.01,3.4,23
27.4,4,121.0,80,2670,15.0,US,3.01,3.4,3.39
25.4,5,183.0,77,3530,20.1,Europe,3.47,2.68,9
23.0,8,350.0,125,3900,17.4,US,3.47,2.68,9
27.2,4,141.0,71,3190,24.8,Europe,2.68,3.47,9
23.9,8,260.0,90,3420,22.2,US,3.19,3.4,10
34.2,4,105.0,70,2200,13.2,US,3.19,3.4,8
34.5,4,105.0,70,2150,14.9,US,3.19,3.4,8.5
31.8,4,85.0,65,2020,19.2,Japan,3.19,3.4,8.5
37.3,4,91.0,69,2130,14.7,Europe,3.19,3.4,8.5
28.4,4,151.0,90,2670,16.0,US,3.13,3.4,8.3
28.8,6,173.0,115,2595,11.3,US,3.13,3.4,7
26.8,6,173.0,115,2700,12.9,US,3.5,2.8,8.8
33.5,4,151.0,90,2556,13.2,US,3.5,2.8,8.8
41.5,4,98.0,76,2144,14.7,Europe,3.31,3.19,9
38.1,4,89.0,60,1968,18.8,Japan,3.31,3.19,9
32.1,4,98.0,70,2120,15.5,US,3.31,3.19,9
37.2,4,86.0,65,2019,16.4,Japan,3.62,3.39,8
28.0,4,151.0,90,2678,16.5,US,3.62,3.39,8
26.4,4,140.0,88,2870,18.1,US,3.62,3.39,8
24.3,4,151.0,90,3003,20.1,US,2.91,3.03,9.5
19.1,6,225.0,90,3381,18.7,US,3.03,3.11,9.6
34.3,4,97.0,78,2188,15.8,Europe,3.03,3.11,9.6
29.8,4,134.0,90,2711,15.5,Japan,2.97,3.23,9.41
31.3,4,120.0,75,2542,17.5,Japan,2.97,3.23,9.4
37.0,4,119.0,92,2434,15.0,Japan,3.03,3.39,7.6
32.2,4,108.0,75,2265,15.2,Japan,2.97,3.23,9.4
46.6,4,86.0,65,2110,17.9,Japan,2.97,3.23,9.4
27.9,4,156.0,105,2800,14.4,US,2.97,3.23,9.4
40.8,4,85.0,65,2110,19.2,Japan,3.03,3.39,7.6
44.3,4,90.0,48,2085,21.7,Europe,3.34,3.46,8.5
43.4,4,90.0,48,2335,23.7,Europe,3.6,3.9,7
36.4,5,121.0,67,2950,19.9,Europe,2.91,3.41,9.6
30.0,4,146.0,67,3250,21.8,Europe,2.91,3.41,9.2
44.6,4,91.0,67,1850,13.8,Japan,2.91,3.07,10.1
33.8,4,97.0,67,2145,18.0,Japan,2.91,3.41,9.2
29.8,4,89.0,62,1845,15.3,Europe,2.91,3.41,9.2
32.7,6,168.0,132,2910,11.4,Japan,2.91,3.41,9.2
23.7,3,70.0,100,2420,12.5,Japan,2.92,3.41,9.2
35.0,4,122.0,88,2500,15.1,Europe,3.15,3.58,9
32.4,4,107.0,72,2290,17.0,Japan,3.15,3.58,9
27.2,4,135.0,84,2490,15.7,US,3.15,3.58,9
26.6,4,151.0,84,2635,16.4,US,3.15,3.58,9
25.8,4,156.0,92,2620,14.4,US,3.15,3.58,9
23.5,6,173.0,110,2725,12.6,US,3.15,3.58,9.1
30.0,4,135.0,84,2385,12.9,US,3.31,3.23,8.5
39.1,4,79.0,58,1755,16.9,Japan,3.03,3.11,9.6
39.0,4,86.0,64,1875,16.4,US,3.03,3.11,9.6
35.1,4,81.0,60,1760,16.1,Japan,3.43,3.23,9.2
32.3,4,97.0,67,2065,17.8,Japan,3.63,4.17,8.1
37.0,4,85.0,65,1975,19.4,Japan,3.63,4.17,8.1
37.7,4,89.0,62,2050,17.3,Japan,3.54,2.76,11.5
34.1,4,91.0,68,1985,16.0,Japan,3.03,3.15,9
34.7,4,105.0,63,2215,14.9,US,3.03,3.15,9
34.4,4,98.0,65,2045,16.2,US,3.03,3.15,9
29.9,4,98.0,65,2380,20.7,US,3.03,3.15,9
33.0,4,105.0,74,2190,14.2,Europe,3.08,3.15,9
34.5,4,100.0,65,2320,15.8,Europe,3.08,3.15,9.4
33.7,4,107.0,75,2210,14.4,Japan,3.08,3.15,9.4
32.4,4,108.0,75,2350,16.8,Japan,3.08,3.15,9.4
32.9,4,119.0,100,2615,14.8,Japan,3.08,3.15,9.4
31.6,4,120.0,74,2635,18.3,Japan,3.39,3.39,8.6
28.1,4,141.0,80,3230,20.4,Europe,3.39,3.39,8.6
30.7,6,145.0,76,3160,19.6,Europe,3.39,3.39,8.6
25.4,6,168.0,116,2900,12.6,Japan,3.39,3.39,8.6
24.2,6,146.0,120,2930,13.8,Japan,3.39,3.39,22.7
22.4,6,231.0,110,3415,15.8,US,3.39,3.39,8.6
26.6,8,350.0,105,3725,19.0,US,3.76,3.16,8
20.2,6,200.0,88,3060,17.1,US,3.43,3.64,22
17.6,6,225.0,85,3465,16.6,US,3.58,3.64,21.5
28.0,4,112.0,88,2605,19.6,US,3.58,3.64,21.5
27.0,4,112.0,88,2640,18.6,US,3.58,3.64,21.5
34.0,4,112.0,88,2395,18.0,US,3.58,3.64,21.5
31.0,4,112.0,85,2575,16.2,US,3.46,3.1,8.3
29.0,4,135.0,84,2525,16.0,US,3.46,3.1,8.3
27.0,4,151.0,90,2735,18.0,US,3.8,3.35,8
24.0,4,140.0,92,2865,16.4,US,3.8,3.35,8
23.0,4,151.0,92,3035,20.5,US,3.78,3.12,8
36.0,4,105.0,74,1980,15.3,Europe,2.97,3.23,9.4
37.0,4,91.0,68,2025,18.2,Japan,2.97,3.23,9.4
31.0,4,91.0,68,1970,17.6,Japan,2.97,3.23,9.4
38.0,4,105.0,63,2125,14.7,US,3.03,3.39,7.6
36.0,4,98.0,70,2125,17.3,US,3.17,3.46,7.5
36.0,4,120.0,88,2160,14.5,Japan,3.35,3.46,8.5
36.0,4,107.0,75,2205,14.5,Japan,3.58,3.86,7
34.0,4,108.0,70,2245,16.9,Japan,3.59,3.86,7
38.0,4,91.0,67,1965,15.0,Japan,3.59,3.86,7
32.0,4,91.0,67,1965,15.7,Japan,3.35,3.46,8.5
38.0,4,91.0,67,1995,16.2,Japan,3.35,3.46,8.5
25.0,6,181.0,110,2945,16.4,US,3.17,3.46,7.5
38.0,6,262.0,85,3015,17.0,US,3.17,3.46,7.5
26.0,4,156.0,92,2585,14.5,US,3.15,3.29,9.4
22.0,6,232.0,112,2835,14.7,US,2.99,3.47,21.9
32.0,4,144.0,96,2665,13.9,Japan,3.15,3.29,9.4
36.0,4,135.0,84,2370,13.0,US,3.15,3.29,9.4
27.0,4,151.0,90,2950,17.3,US,3.15,3.29,9.4
27.0,4,140.0,86,2790,15.6,US,3.15,3.29,9.4
44.0,4,97.0,52,2130,24.6,Europe,3.15,3.29,9.4
32.0,4,135.0,84,2295,11.6,US,3.15,3.29,9.4
28.0,4,120.0,79,2625,18.6,US,3.15,3.29,9.4
31.0,4,119.0,82,2720,19.4,US,3.15,3.29,9.4
